Term,Count
mr,52
new,39
time,28
year,24
years,24
š,23
john,22
shawville,21
house,20
old,20
coun,18
council,18
january,18
law,18
men,18
th,18
business,17
day,17
mrs,17
disease,16
general,16
great,16
sale,16
st,16
like,15
man,15
present,15
prices,15
bristol,14
good,14
goods,14
long,14
moved,14
ottawa,14
valued,14
work,14
average,13
councillors,13
taxable,13
clarendon,12
class,12
county,12
donaldson,12
dr,12
free,12
given,12
hand,12
having,12
held,12
hi,12
la,12
lie,12
black,11
carried,11
cent,11
cure,11
ed,11
elected,11
hall,11
ii,11
number,11
place,11
tbe,11
1890,10
ar,10
cultivation,10
ex,10
heart,10
hobbs,10
lots,10
public,10
says,10
shaw,10
sold,10
unfit,10
week,10
0,9
arnprior,9
canada,9
friends,9
fur,9
home,9
ion,9
just,9
large,9
month,9
months,9
municipal,9
municipality,9
nee,9
notice,9
received,9
room,9
smith,9
stock,9
store,9
took,9
tuesday,9
way,9
york,9
acres,8
armstrong,8
attend,8
best,8
bo,8
come,8
coming,8
company,8
court,8
days,8
death,8
died,8
dress,8
friend,8
iu,8
kidney,8
know,8
lang,8
london,8
mayor,8
medicine,8
north,8
page,8
people,8
price,8
pro,8
quebec,8
said,8
sec,8
seconded,8
session,8
special,8
spent,8
tea,8
trade,8
young,8
